model_path,inference_size,conf_threshold,process_every_n_frames,max_track_lost_seconds,started_at,duration_seconds,total_frames,avg_fps,avg_people,max_people
yolov8s.pt,512,0.350,3,10.0,2026-04-07T13:01:24.380337,6.658,57,8.56,3.00,3
yolov8s.pt,512,0.350,3,10.0,2026-04-07T13:01:33.492523,4.045,19,4.70,3.00,3
yolov8n.pt,512,0.350,3,10.0,2026-04-07T13:01:40.846879,2.444,19,7.77,3.00,3
yolov8l.pt,512,0.350,3,10.0,2026-04-07T13:01:49.902667,8.117,31,3.82,3.00,3
yolov8n.pt,512,0.350,3,10.0,2026-04-07T13:11:58.385339,18.621,44,2.36,3.00,3
yolov8n.pt,512,0.350,3,10.0,2026-04-07T13:15:11.982936,4.273,29,6.79,3.00,3
yolov8n.pt,512,0.350,3,10.0,2026-04-07T13:20:28.546492,91.362,1362,14.91,0.59,3
yolov8n.pt,512,0.350,3,10.0,2026-04-07T13:24:51.310638,9.459,132,13.96,0.76,1
yolov8n.pt,512,0.350,3,10.0,2026-04-08T09:09:17.612505,37.726,256,6.79,3.00,3
yolov8n.pt,512,0.350,3,10.0,2026-04-08T09:10:07.523101,19.491,204,10.47,8.13,13
yolov8n.pt,512,0.350,3,10.0,2026-04-10T13:28:23.177218,14.842,73,4.92,3.00,3
yolov8n.pt,512,0.350,3,10.0,2026-04-10T13:32:04.539502,111.163,1177,10.59,1.30,9
yolov8n.pt,512,0.350,3,10.0,2026-04-10T13:36:28.018220,52.879,609,11.52,2.11,8
yolov8n.pt,512,0.350,3,10.0,2026-04-14T13:41:01.663408,52.852,382,7.23,3.00,3
yolov8n.pt,512,0.350,3,10.0,2026-04-14T13:43:56.847303,36.298,290,7.99,3.00,3
yolov8n.pt,512,0.350,3,10.0,2026-04-14T13:45:15.134213,75.326,259,3.44,1.38,6
yolov8n.pt,512,0.350,1,10.0,2026-04-14T13:48:42.248304,74.950,367,4.90,3.33,10
yolov8n.pt,512,0.350,1,10.0,2026-04-14T13:57:04.343271,11.583,77,6.65,3.00,3
yolov8n.pt,512,0.350,1,10.0,2026-04-14T13:59:51.583409,1.509,4,2.65,3.00,3
yolov8n.pt,512,0.350,1,10.0,2026-04-14T13:59:59.931735,25.991,157,6.04,0.39,4
yolov8n.pt,512,0.350,1,10.0,2026-04-14T14:14:39.152511,14.798,101,6.83,3.00,3
yolov8n.pt,512,0.350,1,10.0,2026-04-14T14:22:01.512462,18.704,331,17.70,0.12,1
yolov8n.pt,512,0.350,1,10.0,2026-04-14T14:22:29.036911,106.004,1237,11.67,2.48,8
yolov8n.pt,512,0.350,1,10.0,2026-04-14T14:37:03.131793,7.071,44,6.22,3.00,3
yolov8n.pt,512,0.350,1,10.0,2026-04-14T14:45:19.495143,30.729,76,2.47,2.58,6
yolov8n.pt,512,0.350,1,10.0,2026-04-14T14:51:28.610439,42.309,181,4.28,1.39,4
yolov8l.pt,512,0.350,1,10.0,2026-04-14T14:52:19.815480,26.696,39,1.46,4.31,7
yolov8n.pt,512,0.350,1,10.0,2026-04-14T21:01:32.476750,51.831,382,7.37,3.00,3
yolov8n.pt,512,0.350,1,10.0,2026-04-14T21:03:42.724595,26.734,194,7.26,3.00,3
yolov8n.pt,512,0.350,1,10.0,2026-04-14T21:09:22.707735,347.723,5729,16.48,1.11,10
yolov8n.pt,512,0.350,1,10.0,2026-04-14T22:03:51.986946,43.570,382,8.77,3.00,3
yolov8n.pt,512,0.350,1,10.0,2026-04-17T08:27:18.524897,19.142,136,7.10,3.00,3
yolov8n.pt,512,0.350,1,10.0,2026-04-17T08:28:21.132087,64.644,352,5.45,0.65,3
yolov8n.pt,512,0.350,1,10.0,2026-04-17T08:29:55.373731,78.294,535,6.83,1.82,8
yolov8n.pt,512,0.350,1,10.0,2026-04-17T08:31:54.943672,20.863,204,9.78,8.13,13
yolov8n.pt,512,0.350,1,10.0,2026-04-17T08:32:26.734228,6.927,64,9.24,10.30,13
yolov8n.pt,512,0.350,1,10.0,2026-04-17T16:17:14.687232,56.983,831,14.58,1.40,5
yolov8n.pt,512,0.350,1,10.0,2026-04-17T23:02:39.846673,21.946,412,18.77,2.00,5
yolov8n.pt,512,0.350,1,10.0,2026-04-17T23:06:47.772238,18.234,412,22.60,2.00,5
yolov8n.pt,512,0.350,1,10.0,2026-04-17T23:14:05.130892,24.481,412,16.83,2.00,5
yolov8m.pt,512,0.250,2,10.0,2026-04-18T06:15:39.126953,32.422,269,8.30,8.79,11
yolov8m.pt,768,0.250,2,10.0,2026-04-18T06:17:14.053290,5.809,21,3.62,3.00,3
yolov8m.pt,768,0.250,2,10.0,2026-04-18T06:17:24.609492,69.170,412,5.96,10.44,14
yolov8m.pt,768,0.250,2,10.0,2026-04-18T06:19:34.440612,57.546,333,5.79,10.35,14
yolov8m.pt,768,0.250,2,100.0,2026-04-18T06:21:14.575777,68.586,412,6.01,10.44,14
yolov8m.pt,768,0.250,2,4.0,2026-04-18T06:23:06.994288,69.096,412,5.96,10.44,14
